wid,stimulus,button_pressed,view_history,questions,responses,correct,block,score,trial_time,trial_index,delays,clicks,n_clicks,stim_i
w7bd80a8,,,,,,,training,-58.0,36218.0,0,"[0, 0, 0, 0, 11]","[3, 7, 12, 11]",4,0
w7bd80a8,,,,,,,training,32.0,51369.0,1,"[3, 42, 0, 2, 0]","[1, 3, 7, 4]",4,1
w7bd80a8,,,,,,,training,44.0,9253.0,2,"[0, 0, 0]","[11, 3]",2,2
w7bd80a8,,,,,,,training,51.0,9300.0,3,"[0, 0, 0, 0]","[3, 7, 8]",3,3
w7bd80a8,,,,,,,training,41.0,10514.0,4,"[0, 0]",[11],1,4
w7bd80a8,,,,,,,training,48.0,9584.0,5,"[0, 0, 0, 0, 0]","[11, 4, 3, 7]",4,5
w7bd80a8,,,,,,,training,24.0,8419.0,6,"[0, 0, 0, 0, 0, 0, 0]","[7, 8, 12, 11, 4, 3]",6,6
w7bd80a8,,,,,,,training,43.0,8319.0,7,"[0, 0, 0, 0, 0, 0]","[4, 3, 7, 8, 12]",5,7
w7bd80a8,,,,,,,training,55.0,14453.0,8,"[0, 0, 0, 0, 0, 0]","[4, 11, 12, 8, 7]",5,8
w7bd80a8,,,,,,,training,51.0,9289.0,9,"[0, 0]",[3],1,9
wab113fc,,,,,,,training,38.0,42961.0,0,[],"[9, 10, 12, 11, 5, 6, 1, 2, 4, 3]",10,10
wab113fc,,,,,,,training,55.0,13582.0,1,[],"[11, 7, 4, 1, 2]",5,11
wab113fc,,,,,,,training,39.0,12811.0,2,[],"[4, 7, 11, 9, 10]",5,12
wab113fc,,,,,,,training,37.0,19267.0,3,[],"[11, 9, 10, 7, 3, 8, 4]",7,13
wab113fc,,,,,,,training,18.0,22759.0,4,[],"[11, 4, 3, 7, 12, 8, 9, 10, 1, 5, 6, 2]",12,6
wab113fc,,,,,,,training,38.0,12426.0,5,[],"[11, 4, 7, 12, 8, 3, 1, 2]",8,2
wab113fc,,,,,,,training,41.0,10185.0,6,[],"[12, 4, 3, 7, 8, 11, 9]",7,14
wab113fc,,,,,,,training,50.0,13382.0,7,[],"[12, 4, 7, 8, 11, 3, 1, 2, 10, 9]",10,1
wab113fc,,,,,,,training,45.0,10491.0,8,[],"[12, 9, 10]",3,15
wab113fc,,,,,,,training,39.0,9391.0,9,[],[11],1,16
w5ea0756,,,,,,,training,60.0,47942.0,0,[],[],0,8
w5ea0756,,,,,,,training,-48.0,9638.0,1,[],[],0,17
w5ea0756,,,,,,,training,-30.0,15135.0,2,[],[],0,2
w5ea0756,,,,,,,training,14.0,29953.0,3,[],[],0,18
w5ea0756,,,,,,,training,14.0,21584.0,4,[],[],0,19
w5ea0756,,,,,,,training,22.0,31550.0,5,[],[],0,20
w5ea0756,,,,,,,training,-22.0,10642.0,6,[],[],0,4
w5ea0756,,,,,,,training,14.0,10515.0,7,[],[],0,21
w5ea0756,,,,,,,training,18.0,12167.0,8,[],[],0,5
w5ea0756,,,,,,,training,-16.0,17972.0,9,[],[],0,22
wd2be5cc,,,,,,,training,15.0,20240.0,0,[],"[1, 2, 3]",3,23
wd2be5cc,,,,,,,training,-32.0,12122.0,1,[],[],0,16
wd2be5cc,,,,,,,training,32.0,17041.0,2,[],"[8, 7, 4, 3, 12, 11]",6,24
wd2be5cc,,,,,,,training,37.0,11998.0,3,[],"[4, 8, 7, 3, 11]",5,4
wd2be5cc,,,,,,,training,36.0,10485.0,4,[],"[4, 8]",2,21
wd2be5cc,,,,,,,training,50.0,8753.0,5,[],"[4, 8]",2,25
wd2be5cc,,,,,,,training,54.0,9574.0,6,[],"[7, 4]",2,22
wd2be5cc,,,,,,,training,49.0,8342.0,7,[],[11],1,18
wd2be5cc,,,,,,,training,24.0,12593.0,8,[],"[11, 3, 7, 8, 12, 4]",6,26
wd2be5cc,,,,,,,training,42.0,9677.0,9,[],"[4, 1]",2,27
wd169d2b,,,,,,,training,22.0,86677.0,0,"[3, 2, 0, 0, 3, 0, 0, 0, 3]","[1, 10, 4, 3, 6, 7, 8, 12]",8,28
wd169d2b,,,,,,,training,47.0,23158.0,1,"[2, 3, 0, 0, 2, 0]","[10, 12, 3, 8, 4]",5,25
wd169d2b,,,,,,,training,46.0,21047.0,2,"[0, 0, 0, 0, 0, 2, 0]","[3, 8, 11, 4, 7, 12]",6,5
wd169d2b,,,,,,,training,47.0,10809.0,3,"[0, 0]",[11],1,29
wd169d2b,,,,,,,training,41.0,10525.0,4,"[0, 0, 0, 0]","[7, 4, 11]",3,13
wd169d2b,,,,,,,training,53.0,11586.0,5,"[0, 0, 0, 0]","[11, 7, 4]",3,30
wd169d2b,,,,,,,training,54.0,9328.0,6,"[0, 0, 0]","[11, 3]",2,31
wd169d2b,,,,,,,training,33.0,10933.0,7,"[0, 0, 0, 0, 0, 0]","[11, 3, 4, 7, 12]",5,32
wd169d2b,,,,,,,training,37.0,13184.0,8,"[0, 0, 0, 0, 0, 0]","[7, 12, 4, 3, 11]",5,4
wd169d2b,,,,,,,training,56.0,10138.0,9,"[0, 0, 0, 0, 0]","[7, 11, 3, 4]",4,11
w990935f,,,,,,,training,-28.0,72511.0,0,[42],[],0,27
w990935f,,,,,,,training,47.0,50180.0,1,"[0, 0, 0, 0, 0, 0]","[4, 8, 12, 11, 7]",5,5
w990935f,,,,,,,training,58.0,14260.0,2,"[0, 0, 0]","[7, 4]",2,11
w990935f,,,,,,,training,37.0,11324.0,3,"[0, 0]",[7],1,31
w990935f,,,,,,,training,40.0,13795.0,4,"[0, 2, 0]","[11, 7]",2,22
w990935f,,,,,,,training,41.0,13735.0,5,"[0, 0, 0, 0, 0, 0]","[4, 8, 12, 11, 7]",5,33
w990935f,,,,,,,training,43.0,9807.0,6,"[0, 0]",[11],1,34
w990935f,,,,,,,training,46.0,8538.0,7,"[0, 0, 0]","[8, 12]",2,7
w990935f,,,,,,,training,51.0,8176.0,8,"[0, 0]",[12],1,35
w990935f,,,,,,,training,10.0,23262.0,9,"[0, 0, 0, 0, 0, 0, 4]","[3, 8, 7, 11, 12, 4]",6,36
w69fd8e2,,,,,,,training,45.0,11600.0,0,[],"[9, 10, 12]",3,15
w69fd8e2,,,,,,,training,37.0,10409.0,1,[],"[9, 10, 12]",3,37
w69fd8e2,,,,,,,training,44.0,9074.0,2,[],"[9, 10, 12, 11, 5, 6, 8, 7]",8,5
w69fd8e2,,,,,,,training,45.0,8310.0,3,[],"[9, 10, 11]",3,14
w69fd8e2,,,,,,,training,43.0,9738.0,4,[],"[5, 6, 8, 7, 9, 10, 11]",7,18
w69fd8e2,,,,,,,training,32.0,8598.0,5,[],"[9, 10, 11, 12]",4,38
w69fd8e2,,,,,,,training,53.0,8395.0,6,[],"[5, 6, 7, 8, 9, 10, 12]",7,1
w69fd8e2,,,,,,,training,45.0,8299.0,7,[],"[9, 10, 11, 12, 5, 6, 8]",7,39
w69fd8e2,,,,,,,training,14.0,14511.0,8,[],"[9, 10, 11, 12, 5, 6, 8, 7, 3, 4]",10,40
w69fd8e2,,,,,,,training,54.0,8965.0,9,[],"[3, 4]",2,30
